date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:21	1129/1129	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Jan%202019%2006:02:21%20GMT	http://broadmoorterrace.com/robots.txt		(from )
23:02:21	5855/5855	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20Sep%202017%2003:42:28%20GMT	http://broadmoorterrace.com/	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/index.html	(from )
23:02:22	1764/1764	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:54%20GMT	http://broadmoorterrace.com/images/bticon.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/bticon.jpg	(from http://broadmoorterrace.com/)
23:02:22	95/95	---MCZ	200	added ('OK')	text/css	date:Mon,%2013%20Feb%202017%2023:31:23%20GMT	http://broadmoorterrace.com/bta.css	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/bta.css	(from http://broadmoorterrace.com/)
23:02:23	6701/6701	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20Sep%202017%2002:51:57%20GMT	http://broadmoorterrace.com/apartments.html	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/apartments.html	(from http://broadmoorterrace.com/)
23:02:23	7288/7288	---M--	200	added ('OK')	image/gif	date:Mon,%2013%20Feb%202017%2023:31:07%20GMT	http://broadmoorterrace.com/images/logo.gif	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/logo.gif	(from http://broadmoorterrace.com/)
23:02:23	4811/4811	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202017%2000:32:29%20GMT	http://broadmoorterrace.com/guest_suite.html	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/guest_suite.html	(from http://broadmoorterrace.com/)
23:02:23	2472/2472	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Feb%202017%2023:31:21%20GMT	http://broadmoorterrace.com/directions.html	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/directions.html	(from http://broadmoorterrace.com/)
23:02:24	3343/3343	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Feb%202017%2023:31:23%20GMT	http://broadmoorterrace.com/info.html	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/info.html	(from http://broadmoorterrace.com/)
23:02:25	59001/59001	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:31:12%20GMT	http://broadmoorterrace.com/images/skyblubkg.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/skyblubkg.jpg	(from http://broadmoorterrace.com/)
